id,name,text,trans
4020001000130010,透,なんかさ、スポーツだと\nコーチの言葉とかあるじゃん、こういう時,怎么说，如果是运动会\n这种时候，教练不是会说点什么吗
0000000000000,プロデューサー,（──ああ……）,（——是啊）
select,,応援してる\nそれだけだ,我会为你加油的\n这就够了
select,,頑張れ、透！,加油啊，透！
select,,透は透らしく\nやればいい,透只要按自己的做法\n放手去做就行了
4020001000130020,透,……ふふっ\nそれ、ファンの人みたいだね,……呵呵\n那样子就跟粉丝一样了
0000000000000,プロデューサー,（よかった……笑顔になった）,（太好了……能让她露出笑容）
4020001000130030,透,ふふっ\nシンプル,呵呵\n很简朴呢
0000000000000,プロデューサー,（緊張、ほぐれたみたいだ）,（应该没这么紧张了）
4020001000130040,透,あー……ありがと\nそういうの、わりと難しいよね,啊……谢谢\n那样子，反而有点难呢
0000000000000,プロデューサー,（うーん、言葉の選択を誤ったか）,（唔，说错话了）
info,produce_communication_cheers/402000100013.json,,
译者,闲云遮月,,
