id,name,text,trans
3024014010010,にちか,…………,
3024014010020,にちか,すごい……,好厉害……
3024014010030,にちか,真っすぐ前向いて\n指先まで神経、行き渡ってて──,笔直地盯着前方\n连指尖的细节也不放过——
3024014010040,にちか,……かっこいい,……好帅啊
3024014010050,にちか,…………,
3024014010060,にちか,腰に手あてて、背筋伸ばす……！\n顎は引いて……──,手放到腰间，背挺直……！\n再收收下巴……——
3024014010070,にちか,あー……違う,啊……不对劲
3024014010080,にちか,なんかもう……全然、違う──！,感觉……完全不一样——！
3024014010090,にちか,……！,
3024014010100,美琴,おはよう,早上好
3024014010110,にちか,あ、おはようございます……！,啊，您早上好……！
3024014010120,美琴,……今、『全然、違う』って言っていた？,……刚才你说的是『完全不一样』吗？
3024014010130,にちか,……,
3024014010140,美琴,ドアの向こうから聞こえた気がして,在门外就听见了
3024014010150,にちか,あ……い、言いました,啊……是、是的
3024014010160,にちか,その──\n美琴さんがこの前出演されてたショーの映像、見てて,那个——\n刚才我在看美琴姐之前服装展的视频
3024014010170,美琴,そうなの？\nありがとう,是吗？\n谢谢你
3024014010180,にちか,……それで、あの\n美琴さんみたいに歩けたらって思ったんですけど,……然后，那个\n我也想走出像美琴姐一样的台步，但……
3024014010190,美琴,『全然、違う』？,『完全不一样』？
3024014010200,にちか,はい……,嗯……
3024014010210,美琴,できる,没问题
3024014010220,にちか,……え,……欸
3024014010230,美琴,練習すればできる\n一緒に歩いてみる？,只要多练就能掌握\n要不要一起走走试试？
3024014010240,にちか,え、え……っ,欸、欸……
3024014010250,美琴,肩の力を抜いて\n視線はそのまま、動かさないで,肩膀放松\n注意视线不要晃动
3024014010260,にちか,はい……,好的……
3024014010270,美琴,……そう、そのまま\n真っすぐ前を見て、表情しっかり固定しよう,……对，就是这样\n盯紧正前方，表情要保持住
3024014010280,美琴,うん、よくなってきた\nこのままもう一周しようか,嗯，好多了\n继续保持，再走一圈吧
3024014010290,にちか,……はい,……好的
0000000000000,トレーナー,お疲れ様でーす……！,辛苦啦……！
3024014010291,にちか＆美琴,……！,
3024014010292,にちか＆美琴,お疲れ様です！,您辛苦了！
0000000000000,トレーナー,──あら、なんか……\nすでにもう、大分あったまってる感じ？,——咦、你们俩……\n这是已经热身完啦？
3024014010300,にちか,あ、えっと……,啊，那个……
3024014010310,美琴,ウォーキングの練習をしていたんです,我们在练习走台步
3024014010320,美琴,だよね？,对吧？
3024014010330,にちか,はい……\nほんと難しくて、まだまだって感じですけど,是的……\n但还是太难了，现在还没什么起色
0000000000000,トレーナー,まだまだでもいいじゃない！\nあとは伸びるだけってことでしょ？,留点悬念不也挺好的！\n这样之后也有盼头努力练习嘛！
3024014010340,にちか,……だといいんですけど,……真的这样就好啦
3024014010350,美琴,大丈夫\n練習すれば上手くなるから,没问题\n只要多练习，肯定能掌握的
3024014010360,にちか,は、はい……！,好、好的……！
0000000000000,トレーナー,なんていうか……\nいい感じの達成感的な空気が漂っちゃってるんだけど,那什么……\n你俩别现在就一副大功告成的表情啦
0000000000000,トレーナー,本番はこれからだからね？,今天的课可才刚开始哦？
3024014010361,にちか＆美琴,はい！,好的！
3024014010370,美琴,──私、次があるからそろそろ出るね,——我之后还有事，就先走了
3024014010380,にちか,はい、お疲れ様でした！,好的，您辛苦了！
3024014010390,美琴,うん、お疲れ様,嗯，你也辛苦了
3024014010400,にちか,………………,肩膀放松，盯紧正前方\n表情保持住…………
3024014010410,にちか,よし,好嘞
3024014010420,美琴,残ってウォーキングの練習するの？,要留在这继续练习台步吗？
3024014010430,にちか,はい……そのつもり、です,嗯……是这么打算的
3024014010440,美琴,…………,
3024014010450,美琴,真面目,小努力家
3024014010460,にちか,えっ,欸
3024014010470,にちか,えー……──,欸……——
3024014010480,美琴,……じゃあ、また,……那我走了
3024014010490,にちか,はい、また,嗯，拜拜
3024014010500,にちか,真面目……,小努力家……
3024014010510,にちか,…………,
3024014010520,にちか,うん、練習しよ,嗯，继续练吧
info,produce_events/302401401.json,,
译者,煉金術式,,
