id,name,text,trans
0000000000000,監督,────よーい、スタート！,————好咯、开始！
2020012040010,雪,『……』,“……”
2020012040020,雪,『お疲れ様……』,“辛苦了……”
2020012040030,雪,『…………\nふふっ、うま』,“…………\n呵呵、真好吃”
0000000000000,監督,はい、カット！\nオッケー！,好、cut！\nOK了——！
0000000000000,スタッフ,浅倉透さん、これにてオールアップです！,浅仓同学，到此就全部杀青了
2020012040040,透,お疲れ様でしたー,辛苦了——
0000000000000,プロデューサー,監督、ありがとうございました……！\nギリギリまでご検討いただきまして……,监督，非常感谢您……！\n临时临忙给您添麻烦……
0000000000000,プロデューサー,浅倉も頑張ったんですが……,虽然浅仓她也努力过了……
0000000000000,監督,ああ、いやいや\nこっちこそ、難しいこと要求しちゃって……,啊啊、哪里哪里\n我们这边才是，提了为难人的要求……
0000000000000,監督,でも、笑顔に変えてよかったですよ\nその方が、逆に痛々しい感じがするっていうか,不过，换成微笑真是太好了\n那样反而，更能感受到痛楚
0000000000000,監督,演技も変に演じようっていうのがなくて、いいですよね\n間違いなく、のぼってく子だと思いますよ,也没有强行演出来的感觉，真不错呢\n毫无疑问，她还会继续成长的
0000000000000,プロデューサー,ありがとうございます……！\n今後とも、よろしくお願いいたします……！,非常感谢……！\n今后也请多多关照了……！
0000000000000,プロデューサー,（…………）,
0000000000000,プロデューサー,（透は────）,（透她————）
0000000000000,プロデューサー,（いつもと変わらないように見える……\nいや、いつもより笑っているような……────）,（虽然看着和平时没两样……\n不对，好像比平时笑得更多……————）
0000000000000,プロデューサー,（もう吹っ切れてるってことか……）,（能认为她已经想开了吗……）
2020012040050,透,あ……,啊……
0000000000000,プロデューサー,おっ……！,噢……！
2020012040051,透＆プロデューサー,雪……,雪……
2020012040060,透,ふふ、呼ばれてるみたい,呵呵、好像在叫我似的
0000000000000,プロデューサー,はは、役名だったもんな,哈哈、毕竟是角色名嘛
0000000000000,プロデューサー,あ、路面が凍結しちゃうから\n今日は歩いて帰ろうか,啊、路面都结冰了\n今天就走路回去吧
2020012040070,透,うん,嗯
2020012040080,透,────あのさ,————我说啊
0000000000000,プロデューサー,ん？,嗯？
2020012040090,透,なんか、ある？\nでかいやつ、また,那什么，有吗？\n巨大的什么，还会有吗
0000000000000,プロデューサー,……ああ、大きな案件ってことか？\nいや、今のところはまだないかな,……啊啊、你是想说大工作吗？\n唔、现在暂时还没有吧
2020012040100,透,そっか……,这样啊……
2020012040110,透,────なんかさ\nあったら、ちょうだい,————那什么\n要是有的话，给我吧————
0000000000000,プロデューサー,……ああ、もちろんそのつもりだけど────,……嗯嗯、当然我也是那个打算————
2020012040120,透,うん\n欲しい,嗯\n想要
2020012040130,透,もっと……,更多……
2020012040140,透,こんなんじゃ────,现在这样的话————
0000000000000,プロデューサー,透…………？,透…………？
2020012040150,透,────積もってる,————积起来了
2020012040160,透,ふふっ,呵呵
2020012040170,透,やってよ、プロデューサーも,来玩嘛，制作人也
0000000000000,プロデューサー,（────透…………）,（————透…………）
2020012040180,透,ふふっ,呵呵
2020012040190,透,行くよー,要来咯——
2020012040200,透,あははっ,啊哈哈
0000000000000,プロデューサー,（そうか…………）,（这样啊…………）
0000000000000,プロデューサー,（やっぱり────\n悔しいんだな、透も…………）,（果然————\n会感到不甘心吧，她也是…………）
0000000000000,プロデューサー,（いいよ……\n俺が全部受け止める……）,（好吧……\n我会全部接下来的……）
0000000000000,プロデューサー,（だから……ぶつけてくれ……！）,（所以说……都扔过来吧……！）
2020012040210,透,少しは抵抗しろー,稍微抵抗一下啊——
0000000000000,プロデューサー,…………っ…………,……………………
2020012040220,透,……え？\n泣いてる……？,……诶？\n你在哭吗……？
2020012040230,透,ごめん、痛かった？,抱歉，很疼吗？
0000000000000,プロデューサー,……いや\n降ってる雪が……目に入って────,……没事\n只是雪……掉进眼睛上了————
2020012040240,透,…………,
2020012040250,透,ありがと\n泣いてくれて、代わりに,谢谢你\n哭了出来，代替我
0000000000000,プロデューサー,…………\nこんなことしか…………ごめん、透……,…………\n我只能做到这种事…………抱歉，透……
2020012040260,透,ねー、投げてよ\nプロデューサーも,嗳——，来丢嘛\n制作人也一起
2020012040270,透,思いっきり,丢个痛快
0000000000000,プロデューサー,…………ああ,…………嗯嗯
2020012040280,透,もっとー,再来——
2020012040290,透,もっと来ーい,再来点——
2020012040291,透＆プロデューサー,あははっ,啊哈哈
info,produce_events/202001204.json,,
译者,魚見,,
