id,name,text,trans
3001013020010,真乃,洗濯物は、お日様の香り,洗好的衣服有着太阳公公的香气
3001013020020,真乃,ふかふかで、鳥さんの声も聞こえるみたい,松松软软的，仿佛还能听见小鸟的叫声
3001013020030,めぐる,──乃、真乃……！,——乃、真乃……！
3001013020040,真乃,……ん……あ、あれ、私……？,……嗯……咦、咦，我……？
3001013020050,めぐる,おはよう！,早上好！
3001013020060,めぐる,お疲れな真乃には……チョコどうぞ！\nあともうちょっとで洗濯も終わるよー！,给劳累一天的真乃……巧克力！\n还差一会就能洗好了哦——！
3001013020070,真乃,ほわ……ご、ごめんねめぐるちゃん\n私、いつもここで寝ちゃって……,哇……对、对不起，巡\n我老是在这种地方睡着……
3001013020080,めぐる,ううん！　レッスンの後だし\n──この音って聴いてると眠くなっちゃうよね,没事！毕竟课程也结束了\n听着这种声音就很容易困呢
3001013020090,真乃,うん……なんだか\n安心しちゃって……,嗯……有种\n安心的感觉……
3001013020100,めぐる,えへへ……うんっ！,诶嘿嘿……嗯！
3001013020110,めぐる,コインランドリーって、\nただ洗濯するだけのところって思ってたけど,我之前以为自助洗衣店\n只是洗衣服的地方
3001013020120,めぐる,一緒におしゃべりしながらゆっくりできるし、\n落ちつくし……いいなって,现在觉得这里不仅可以一起聊天悠闲度日\n还能让人放松……真是好啊
3001013020130,真乃,う、うん……っ\n私も、そう思う……っ,嗯、嗯……\n我也这么觉得
3001013020140,めぐる,いつ来てもなんだかゆっくりしちゃうね,无论什么时候来都给人一种很悠闲的感觉
3001013020150,真乃,……ほんとだね,……确实
3001013020160,真乃,また、こうして一緒に来れるといいな……っ,下次还能这样一起来就好了……
3001013020161,真乃＆めぐる,ふふ……っ,呵呵……
3001013020170,めぐる,うん、ジャージピカピカ！\n明日も気持ちよくレッスンできるよー！,嗯，运动衫闪亮亮的！明天也能舒舒服服地去上课了！
3001013020180,めぐる,んー！　いいにおーい！,嗯！气味很香！
3001013020190,真乃,……うん、いい匂い……\nふふ……,……嗯，很香……\n呵呵……
3001013020200,めぐる,えへへっ、ね！,诶嘿嘿、对吧！
3001013020210,めぐる,洗濯物の匂い、好きだなー,好喜欢洗好衣服的气味啊
3001013020220,めぐる,こういう柔軟剤の香りもだけど、\n外に干したあとの、太陽の匂いとか特に！,不仅有柔软剂的香气，而且在外面晾干之后还有更香的太阳的气味
3001013020230,真乃,ほわ……めぐるちゃんも、そう思う？,哇……巡也这么想吗？
3001013020240,めぐる,思う思う！　わたし『も』ってことは、真乃も？,是的是的！你说我“也”，意思是真乃也这么想吗？
3001013020250,真乃,うん……ふかふかの洗濯物の香りをかぐと、\n外でいろんなことがあったんだろうなあって思うの,嗯……一闻松松软软的洗好衣物的香气\n就会想到外面各种各样的事物
3001013020260,めぐる,いろんなこと？,各种各样的事物？
3001013020270,真乃,……木漏れ日がキラキラしてるところで\n鳥さんが鳴いていたり……,比如阳光透过树叶的间隙闪闪发光\n此时还能听见小鸟的歌声
3001013020280,真乃,あったかくてやわらかい草の上を、猫さんが通ったり……,又比如小猫漫步在温暖柔软的草坪上
3001013020290,真乃,あと、ときどき雲が出たり……,还有云卷云舒
3001013020300,めぐる,わぁ……！,哇……！
3001013020310,めぐる,そっか、そういうのが全部詰まって、太陽の匂い！,原来如此，把这些全部聚集起来，就是太阳的香气！
3001013020320,真乃,う、うん……っ,嗯、嗯……
3001013020330,真乃,私、お日様の香り、大好きなんだ……,我最喜欢太阳公公的香气了……
3001013020340,めぐる,えへへー！　わたしもっ！,诶嘿嘿！我也是！
3001013020350,めぐる,そうだ！,对了！
3001013020360,めぐる,明日、事務所のベランダ借りようかな！,明天借用一下事务所的阳台吧！
3001013020370,真乃,ほわ……,哇……
3001013020380,めぐる,ジャージはもう乾いてるけど……,不过运动衫已经干了……
3001013020390,めぐる,レッスン前に干したら、\n『お日様の香り』になりそうじゃない？,要是在课程开始前干了的话\n就能拥有“太阳公公的香气”了吧？
3001013020400,真乃,わ……うん、そうだね……っ\nお日様の香りに……,哇……嗯，是呢……\n太阳公公的香气……
3001013020410,真乃,……私も、一緒にやりたいな……っ,……我也想一起去试试……
3001013020420,めぐる,もちろん！\n灯織も誘っちゃおう！,当然可以！\n也把灯织邀请上吧！
3001013020430,真乃,うんっ,嗯
3001013020440,めぐる,明日、晴れるかな？,明天会放晴吗？
3001013020450,真乃,……晴れたらいいね……っ,……放晴就好了……
3001013020460,真乃,…………,……
3001013020470,真乃,……でも,……但是
3001013020480,めぐる,ん？,嗯？
3001013020490,真乃,今の、この香りも……いいなって……,现在这种香气……也挺不错的……
3001013020500,めぐる,そうだね！　ちょくちょく洗いに行くから、\nこの柔軟剤の匂いも好きになっちゃった！,是呢！因为经常跑去洗\n也喜欢上了这份柔软剂的香味！
3001013020510,真乃,……ふふ\nうん……っ,……呵呵\n嗯……
3001013020520,真乃,洗濯物は大好きなお日様の香り,洗好的衣物有着我最喜欢的太阳公公的香气
3001013020530,真乃,ずっと一緒にいたい、お揃いの香り,以及想要永远在一起的同伴的香气
info,produce_events/300101302.json,,
译者,Gestalt,,
